"BBRefName","BBRefLink","BBRefID","BBRefBirthDate"
"Michael Beasley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beaslmi01.html","beaslmi01",1989-01-09
"Rodrigue Beaubois","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beaubro01.html","beaubro01",1988-02-24
"Corey Beck","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beckco01.html","beckco01",1971-05-27
"William Bedford","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bedfowi01.html","bedfowi01",1963-12-14
"Marco Belinelli","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/belinma01.html","belinma01",1986-03-25
"Charlie Bell","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bellch01.html","bellch01",1979-03-12
"Jordan Bell","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/belljo01.html","belljo01",1995-01-07
"Raja Bell","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bellra01.html","bellra01",1976-09-19
"Troy Bell","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/belltr01.html","belltr01",1980-11-10
"DeAndre' Bembry","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bembrde01.html","bembrde01",1994-07-04
"Dragan Bender","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bendedr01.html","bendedr01",1997-11-17
"Jonathan Bender","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bendejo01.html","bendejo01",1981-01-30
"Jerrelle Benimon","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/benimje01.html","benimje01",1991-08-01
"Benoit Benjamin","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/benjabe01.html","benjabe01",1964-11-22
"Corey Benjamin","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/benjaco01.html","benjaco01",1978-02-24
"Anthony Bennett","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bennean01.html","bennean01",1993-03-14
"Elmer Bennett","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/benneel01.html","benneel01",1970-02-13
"Mario Bennett","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bennema01.html","bennema01",1973-08-01
"Tony Bennett","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/benneto01.html","benneto01",1969-06-01
"Winston Bennett","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bennewi01.html","bennewi01",1965-02-09
"David Benoit","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/benoida01.html","benoida01",1968-05-09
"Keith Benson","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bensoke02.html","bensoke02",1988-08-13
"Ben Bentil","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bentibe01.html","bentibe01",1995-03-29
