"draft_year","pick","player","draft_age","draft_age2","pick_group","year_group","draft_team","make_nba","nba_seasons","player_id","season","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs"
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1993,5776,2867,1.587231435,0.849107812,2.436339247,7.574806893,7.574806893,0
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",2000,410,209,-0.099510161,-1.875306353,-1.974816514,0.08439358,0.011172951,0.073220629
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1991,2015,1003,-0.328798977,-0.666805148,-0.995604124,0.908579605,0.70144792,0.207131685
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1994,5846,2964,2.628905255,-0.020147164,2.608758091,8.113410854,7.441163431,0.672247423
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1999,1346,692,0.925203274,-1.440599415,-0.515396142,0.79479528,0.788562414,0.006232866
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1996,1054,522,-0.887898957,0.046543601,-0.841355356,0.509944386,0.509944386,0
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1992,4757,2387,2.163116781,1.432647878,3.595764659,7.716008422,7.628967855,0.087040567
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1995,3225,1591,0.184959272,0.164528769,0.349488041,2.520873293,2.520873293,0
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1990,4607,2229,0.03146215,-0.506825936,-0.475363786,2.611162802,2.039474232,0.57168857
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",2004,5429,2780,1.769441453,-0.928994826,0.840446627,5.06359009,4.662662051,0.400928039
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",2002,6485,3459,3.173979678,-0.450950311,2.723029368,9.689061174,9.012980296,0.676080878
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1996,7163,3759,4.859952142,1.34852158,6.208473722,17.25458165,14.92731717,2.327264487
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1998,3791,2008,5.525856003,0.357127795,5.882983798,8.850603147,8.850603147,0
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",2003,6904,3597,2.307202541,0.417063026,2.724265568,10.0466037,8.081372755,1.965230943
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",2005,5515,2865,-0.829687322,0.725189614,-0.104497708,3.913084371,2.757755744,1.155328627
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1997,6721,3573,5.58534148,0.838832054,6.424173534,16.76584662,14.90448402,1.861362603
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1992,6299,3153,1.422771561,1.638153574,3.060925135,9.340551277,8.4215356,0.919015677
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1991,5558,2770,0.682396041,0.410910635,1.093306676,5.447312492,5.109439112,0.33787338
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",2001,6560,3508,4.849804525,-0.209407555,4.640396969,13.15605238,12.78381534,0.372237043
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",2006,2909,1535,-2.128399496,-1.415912846,-3.544312342,-0.625552802,-0.403578408,-0.221974393
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1993,6112,3062,2.27636822,1.30556284,3.58193106,9.918209533,9.299160185,0.619049348
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1999,7156,3646,5.714894832,0.585893864,6.300788697,16.81862883,15.92391727,0.894711562
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",2000,6262,3244,4.397162705,0.117312688,4.514475393,11.96686462,11.96686462,0
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1990,4821,2379,0.963164634,1.228894807,2.192059441,6.028045655,5.633129408,0.394916248
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1995,7943,4073,3.539129942,2.444769875,5.983899817,18.28210835,14.12741552,4.15469283
"1990",2,"Gary Payton",21.9506849315068,21,"2-5","90's","SEA","Yes",17,"paytoga01",1994,6383,3187,4.675660306,1.125937079,5.801597385,13.85068527,13.67073119,0.179954081
"1990",20,"Gerald Glass",22.6465753424658,22,"19-30","90's","MIN","Yes",4,"glassge01",1990,1179,606,-1.321550807,-1.071370632,-2.392921438,0.111148634,0.111148634,0
"1990",20,"Gerald Glass",22.6465753424658,22,"19-30","90's","MIN","Yes",4,"glassge01",1995,136,71,-0.926328582,-0.057706936,-0.984035518,0.064908884,0.064908884,0
"1990",20,"Gerald Glass",22.6465753424658,22,"19-30","90's","MIN","Yes",4,"glassge01",1991,3651,1822,-1.559512231,-0.946177759,-2.50568999,0.227394063,0.227394063,0
"1990",20,"Gerald Glass",22.6465753424658,22,"19-30","90's","MIN","Yes",4,"glassge01",1992,1666,848,-1.664852123,-0.103394804,-1.768246927,0.428904368,0.428904368,0
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1994,1910,982,-1.07472784,0.454441685,-0.620286156,1.069011879,1.069011879,0
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1997,4702,2459,2.397178675,-0.332190237,2.064988438,5.982837908,5.760398537,0.222439371
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1995,3559,1858,-0.897699736,0.461621609,-0.436078127,2.184438009,2.184438009,0
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1992,281,139,-2.885614509,-0.228732877,-3.114347387,-0.02603879,-0.02603879,0
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1990,1043,518,-4.39223527,-2.490079812,-6.882315082,-1.099779023,-1.141260415,0.041481391
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1991,1276,646,-5.721101912,-1.075974664,-6.797076576,-1.34745607,-1.34745607,0
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1996,2788,1432,-1.198490299,-0.626140949,-1.824631247,0.671704964,0.671704964,0
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1993,1797,894,-2.018982761,-0.490671966,-2.509654727,0.097608101,0.20547079,-0.107862688
"1990",21,"Jayson Williams",22.3671232876712,22,"19-30","90's","PHL","Yes",9,"willija01",1998,1967,1020,-0.883012819,0.968159838,0.085147019,1.46762291,1.46762291,0
"1990",22,"Tate George",22.1013698630137,22,"19-30","90's","NJN","Yes",4,"georgta01",1990,1243,594,-2.224345595,-1.505717958,-3.730063552,-0.296966363,-0.296966363,0
"1990",22,"Tate George",22.1013698630137,22,"19-30","90's","NJN","Yes",4,"georgta01",1994,16,8,-7.33876376,-8.68992438,-16.02868814,-0.055080546,-0.055080546,0
"1990",22,"Tate George",22.1013698630137,22,"19-30","90's","NJN","Yes",4,"georgta01",1992,812,402,-4.265695175,-2.088506065,-6.35420124,-0.734142925,-0.760353313,0.026210388
"1990",22,"Tate George",22.1013698630137,22,"19-30","90's","NJN","Yes",4,"georgta01",1991,2232,1081,-1.729583574,-1.896927935,-3.626511509,-0.491881466,-0.341053939,-0.150827527
"1990",23,"Anthony Bonner",22.0739726027397,22,"19-30","90's","SAC","Yes",6,"bonnean01",1995,112,59,-4.117243239,1.355391701,-2.761851538,-0.001736053,0.017422342,-0.019158395
"1990",23,"Anthony Bonner",22.0739726027397,22,"19-30","90's","SAC","Yes",6,"bonnean01",1991,4800,2287,-2.754565864,-0.460745633,-3.215311497,-0.542447383,-0.542447383,0
"1990",23,"Anthony Bonner",22.0739726027397,22,"19-30","90's","SAC","Yes",6,"bonnean01",1994,2233,1164,-3.041821575,1.330309005,-1.71151257,0.621454751,0.580168886,0.041285864
"1990",23,"Anthony Bonner",22.0739726027397,22,"19-30","90's","SAC","Yes",6,"bonnean01",1993,2959,1520,-0.742599799,2.248640137,1.506040338,3.291265798,3.376325451,-0.085059653
"1990",23,"Anthony Bonner",22.0739726027397,22,"19-30","90's","SAC","Yes",6,"bonnean01",1990,1497,750,-2.402430038,0.678495886,-1.723934152,0.392632873,0.392632873,0
"1990",23,"Anthony Bonner",22.0739726027397,22,"19-30","90's","SAC","Yes",6,"bonnean01",1992,3747,1764,-1.792023446,0.423721006,-1.36830244,1.244639718,1.244639718,0
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1998,129,67,-9.33495737,-3.4965032,-12.83146057,-0.350293264,-0.350293264,0
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1996,223,116,-5.996643971,-0.829665198,-6.826309169,-0.242378004,-0.242378004,0
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1990,827,398,-6.477497871,0.688177297,-5.789320574,-0.620710191,-0.620710191,0
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1992,276,141,-3.392378685,2.679738741,-0.712639944,0.146367665,0.076938316,0.069429349
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1995,559,297,-5.004729829,1.601275852,-3.403453976,-0.099873615,-0.099873615,0
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1994,619,318,-6.751575619,-0.523736382,-7.275312002,-0.733282881,-0.733282881,0
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1993,642,319,-5.86250431,0.9109405,-4.951563809,-0.359350396,-0.359350396,0
"1990",24,"Dwayne Schintzius",21.7232876712329,21,"19-30","90's","SAN","Yes",8,"schindw01",1991,840,400,-3.817205193,-0.155818745,-3.973023938,-0.25024556,-0.25024556,0
